Order_ID,Customer_ID,Restaurant_ID,Delivery_person_ID,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_vehicle,Type_of_order,City,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Delivery_person_Age,Delivery_person_Ratings,Time_taken(min),Distance_km,Route_Efficiency,Actual_Distance_km,Order_Datetime,Pickup_Datetime,Order_Hour,Pickup_Hour,Order_Minute,Pickup_Minute,DayOfWeek,Month,Year,Day,IsWeekend,IsHoliday,IsPeakHour,Wait_Time_Minutes,Delivery_Speed,Restaurant_Prep_Time,Delivery_Person_Efficiency,Restaurant_Efficiency,Time_Cost,Distance_Cost,Fuel_Cost,Maintenance_Cost,Total_Variable_Cost,Total_Cost,Revenue,Profit,CO2_Emissions,Fuel_Consumption
ORD-00001,CUST-103,REST-37,DP-08,2023-01-01,21:00,14:45,Stormy,High,motorcycle,Drinks,Urban,28.563464505808817,77.13238230102502,28.583283957710798,77.12836085445589,24,3.9,29.0,2.238537164284004,1.1872700594236814,2.657748152061589,2023-01-01 21:00:00,2023-01-01 14:45:00,21,14,0,45,6,1,2023,1,1,1,1,58.48314606741573,0.07719093669944842,40.93820224719101,0.14238055533893013,1.0345821325648414,58.0,6.7156114928520125,3.3578057464260063,1.119268582142002,69.19268582142003,119.19268582142003,100,-19.192685821420028,0.2686244597140805,0.14923581095226696
ORD-00002,CUST-180,REST-06,DP-08,2023-01-01,11:00,16:15,Fog,Medium,motorcycle,Meal,Metropolitian,28.48505215708128,77.00538735912505,28.646087888182752,77.02959721301984,37,3.2,42.0,18.06177114300308,1.475357153204958,26.64756325538049,2023-01-01 11:00:00,2023-01-01 16:15:00,11,16,0,15,6,1,2023,1,1,1,1,58.48314606741573,0.4300421700715019,40.93820224719101,0.7932232152116974,1.0577569644572526,84.0,54.18531342900924,27.09265671450462,9.03088557150154,174.30885571501537,224.30885571501537,100,-124.30885571501537,2.1674125371603696,1.2041180762002055
ORD-00003,CUST-093,REST-26,DP-18,2023-01-01,14:15,17:30,Sunny,High,motorcycle,Buffet,Urban,28.684527546662448,77.0223531385456,28.521232954322887,77.18572792858133,35,4.7,23.0,24.16772082775105,1.3659969709057025,33.013033444402595,2023-01-01 14:15:00,2023-01-01 17:30:00,14,17,15,30,6,1,2023,1,1,1,1,58.48314606741573,1.0507704707717849,40.93820224719101,1.8302200860951205,0.9645311460873421,46.0,72.50316248325315,36.251581241626575,12.083860413875525,166.83860413875524,216.83860413875524,100,-116.83860413875524,2.900126499330126,1.6111813885167368
ORD-00004,CUST-015,REST-34,DP-28,2023-01-01,17:15,12:15,Fog,High,motorcycle,Meal,Metropolitian,28.65273923205067,77.15311781640462,28.466450315256157,77.04310748217851,35,4.9,16.0,23.334991811780114,1.2993292420985183,30.319837225175387,2023-01-01 17:15:00,2023-01-01 12:15:00,17,12,15,15,6,1,2023,1,1,1,0,58.48314606741573,1.4584369882362571,40.93820224719101,2.0424232822899375,1.1135003325205055,32.0,70.00497543534034,35.00248771767017,11.667495905890057,148.67495905890058,198.67495905890058,100,-98.67495905890058,2.8001990174136138,1.5556661207853408
ORD-00005,CUST-107,REST-45,DP-20,2023-01-01,17:15,16:30,Windy,Jam,motorcycle,Buffet,Urban,28.61671205228984,77.29083181270276,28.553607016732627,77.15671197919004,32,4.9,31.0,14.85706568325299,1.0780093202212182,16.016055277685545,2023-01-01 17:15:00,2023-01-01 16:30:00,17,16,15,30,6,1,2023,1,1,1,0,58.48314606741573,0.4792601833307416,40.93820224719101,0.6970263723016604,1.0385119203563007,62.0,44.57119704975897,22.285598524879486,7.428532841626495,136.28532841626495,186.28532841626495,100,-86.28532841626495,1.7828478819903588,0.9904710455501994
ORD-00006,CUST-072,REST-06,DP-15,2023-01-01,16:30,12:15,Fog,Jam,scooter,Drinks,Semi-Urban,28.423398159922822,77.20796286266565,28.56465252667804,77.00216598410111,37,3.9,40.0,25.51820875325949,1.0779972601681014,27.50855912041139,2023-01-01 16:30:00,2023-01-01 12:15:00,16,12,30,15,6,1,2023,1,1,1,0,58.48314606741573,0.6379552188314872,40.93820224719101,1.1441113754634415,1.0577569644572526,80.0,76.55462625977847,38.27731312988924,12.759104376629745,207.59104376629745,257.59104376629745,100,-157.59104376629745,3.0621850503911388,1.701213916883966
ORD-00007,CUST-189,REST-37,DP-27,2023-01-01,21:45,13:45,Stormy,Medium,motorcycle,Buffet,Semi-Urban,28.431839005792703,77.02127485743156,28.561497911602974,77.0949789045238,39,4.3,24.0,16.11642027520192,1.0290418060840998,16.58447022760419,2023-01-01 21:45:00,2023-01-01 13:45:00,21,13,45,45,6,1,2023,1,1,1,1,58.48314606741573,0.6715175114667468,40.93820224719101,1.3822006351601863,1.0345821325648414,48.0,48.34926082560577,24.174630412802884,8.05821013760096,128.5821013760096,178.5821013760096,100,-78.5821013760096,1.9339704330242304,1.0744280183467947
ORD-00008,CUST-021,REST-33,DP-07,2023-01-01,20:45,17:45,Fog,Jam,motorcycle,Buffet,Urban,28.547834403759484,77.05680826273756,28.569522137444032,77.20315721710179,36,4.2,23.0,14.495272368625534,1.4330880728874675,20.773001944732524,2023-01-01 20:45:00,2023-01-01 17:45:00,20,17,45,45,6,1,2023,1,1,1,1,58.48314606741573,0.6302292334185015,40.93820224719101,0.9803263737145708,0.9280647306583907,46.0,43.4858171058766,21.7429085529383,7.247636184312767,118.47636184312768,168.47636184312768,100,-68.47636184312768,1.739432684235064,0.9663514912417023
ORD-00009,CUST-103,REST-22,DP-11,2023-01-01,15:15,10:00,Windy,Jam,scooter,Meal,Urban,28.448214004757293,77.23139694296505,28.684611475471755,77.14521168206835,39,3.7,16.0,27.600819348615133,1.3005575058716043,35.89645277204762,2023-01-01 15:15:00,2023-01-01 10:00:00,15,10,15,0,6,1,2023,1,1,1,0,58.48314606741573,1.7250512092884458,40.93820224719101,2.61750568908086,1.0423631123919308,32.0,82.8024580458454,41.4012290229227,13.800409674307566,170.00409674307565,220.00409674307565,100,-120.00409674307565,3.312098321833816,1.8400546232410089
ORD-00010,CUST-122,REST-21,DP-20,2023-01-01,20:00,21:15,Windy,Medium,motorcycle,Meal,Metropolitian,28.693479639058843,77.25243192798688,28.67067368692887,77.29348084579969,38,3.9,38.0,4.739800678348278,1.3540362888980226,6.417862120627032,2023-01-01 20:00:00,2023-01-01 21:15:00,20,21,0,15,6,1,2023,1,1,1,1,75.0,0.12473159679863889,52.5,0.18140712592422847,0.773183520599251,76.0,14.219402035044833,7.109701017522417,2.369900339174139,99.69900339174139,149.69900339174137,100,-49.69900339174137,0.5687760814017934,0.3159867118898852
