Order_ID,Customer_ID,Restaurant_ID,Delivery_person_ID,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_vehicle,Type_of_order,City,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Delivery_person_Age,Delivery_person_Ratings,Time_taken(min)
ORD-00001,CUST-103,REST-37,DP-08,01-01-2023,21:00,14:45,Stormy,High,motorcycle,Drinks,Urban,28.563464505808817,77.13238230102502,28.583283957710794,77.12836085445589,24,3.9,29 min
ORD-00002,CUST-180,REST-06,DP-08,01-01-2023,11:00,16:15,Fog,Medium,motorcycle,Meal,Metropolitian,28.48505215708128,77.00538735912505,28.646087888182752,77.02959721301984,37,3.2,42 min
ORD-00003,CUST-093,REST-26,DP-18,01-01-2023,14:15,17:30,Sunny,High,motorcycle,Buffet,Urban,28.684527546662448,77.0223531385456,28.521232954322887,77.18572792858133,35,4.7,23 min
ORD-00004,CUST-015,REST-34,DP-28,01-01-2023,17:15,12:15,Fog,High,motorcycle,Meal,Metropolitian,28.65273923205067,77.15311781640462,28.466450315256154,77.04310748217851,35,4.9,16 min
ORD-00005,CUST-107,REST-45,DP-20,01-01-2023,17:15,16:30,Windy,Jam,motorcycle,Buffet,Urban,28.616712052289838,77.29083181270276,28.553607016732627,77.15671197919004,32,4.9,31 min
ORD-00006,CUST-072,REST-06,DP-15,01-01-2023,16:30,12:15,Fog,Jam,scooter,Drinks,Semi-Urban,28.423398159922822,77.20796286266565,28.564652526678042,77.00216598410111,37,3.9,40 min
ORD-00007,CUST-189,REST-37,DP-27,01-01-2023,21:45,13:45,Stormy,Medium,motorcycle,Buffet,Semi-Urban,28.431839005792703,77.02127485743156,28.561497911602974,77.0949789045238,39,4.3,24 min
ORD-00008,CUST-021,REST-33,DP-07,01-01-2023,20:45,17:45,Fog,Jam,motorcycle,Buffet,Urban,28.547834403759484,77.05680826273756,28.569522137444032,77.20315721710179,36,4.2,23 min
ORD-00009,CUST-103,REST-22,DP-11,01-01-2023,15:15,10:00,Windy,Jam,scooter,Meal,Urban,28.448214004757293,77.23139694296505,28.684611475471755,77.14521168206835,39,3.7,16 min
ORD-00010,CUST-122,REST-21,DP-20,01-01-2023,20:00,21:15,Windy,Medium,motorcycle,Meal,Metropolitian,28.693479639058843,77.25243192798688,28.67067368692887,77.29348084579969,38,3.9,38 min
